# PROVENANCE: extracted from OpenMOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/parameters_for_mndo_C.F90
# source license: Apache-2.0
# extraction script: tools/extract_xndo_params.py
z,sym,uss,upp,udd,zs,zp,zd,betas,betap,betad,gss,gsp,gpp,gp2,hsp,zsn,zpn,zdn,f0sd,g2sd,alp,poc,g1_k,g1_l,g1_m,g2_k,g2_l,g2_m,g3_k,g3_l,g3_m,g4_k,g4_l,g4_m
1,H,-11.9062760e0,0,0,1.3319670e0,0,0,-6.9890640e0,0,0,12.8480000e0,0,0,0,0,0,0,0,0,0,2.5441341e0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,He,-35.4931170e0,9.9998433e0,0,1.7710761e0,6.9018258e0,0,-17.5545020e0,-26.0526064e0,0,8.0590135e0,11.0152229e0,19.3843339e0,11.3517224e0,0.5321205e0,0,0,0,0,0,5.7813931e0,0,0.1985976e0,1.0009593e0,0.5031509e0,0,0,0,0,0,0,0,0,0
3,Li,-4.8578570e0,-2.0266084e0,0,0.4296141e0,0.7554884e0,0,-0.1904126e0,-1.6081355e0,0,7.5947069e0,6.7259856e0,8.6596829e0,3.8714751e0,5.0003381e0,0,0,0,0,0,1.2083987e0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be,-16.6023780e0,-10.7037710e0,0,1.0042100e0,1.0042100e0,0,-4.0170960e0,-4.0170960e0,0,9.0000000e0,7.4300000e0,6.9700000e0,6.2200000e0,1.2800000e0,0,0,0,0,0,1.6694340e0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,-34.5471300e0,-23.1216900e0,0,1.5068010e0,1.5068010e0,0,-8.2520540e0,-8.2520540e0,0,10.5900000e0,9.5600000e0,8.8600000e0,7.8600000e0,1.8100000e0,0,0,0,0,0,2.1349930e0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C,-52.2797450e0,-39.2055580e0,0,1.7875370e0,1.7875370e0,0,-18.9850440e0,-7.9341220e0,0,12.2300000e0,11.4700000e0,11.0800000e0,9.8400000e0,2.4300000e0,0,0,0,0,0,2.5463800e0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N,-71.9321220e0,-57.1723190e0,0,2.2556140e0,2.2556140e0,0,-20.4957580e0,-20.4957580e0,0,13.5900000e0,12.6600000e0,12.9800000e0,11.5900000e0,3.1400000e0,0,0,0,0,0,2.8613420e0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,O,-99.6443090e0,-77.7974720e0,0,2.6999050e0,2.6999050e0,0,-32.6880820e0,-32.6880820e0,0,15.4200000e0,14.4800000e0,14.5200000e0,12.9800000e0,3.9400000e0,0,0,0,0,0,3.1606040e0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F,-131.0715480e0,-105.7821370e0,0,2.8484870e0,2.8484870e0,0,-48.2904660e0,-36.5085400e0,0,16.9200000e0,17.2500000e0,16.7100000e0,14.9100000e0,4.8300000e0,0,0,0,0,0,3.4196606e0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ne,9.6554736e0,-71.1466474e0,0,5.9998745e0,4.1752600e0,0,-0.1512657e0,-23.8470187e0,0,0.4989374e0,10.1592044e0,18.9449976e0,8.5648589e0,0.2999991e0,0,0,0,0,0,2.5377255e0,0,0.2352109e0,8.8116607e0,1.0927884e0,0,0,0,0,0,0,0,0,0
